Title,Rating,Link
超能陆战队,8.8,https://movie.douban.com/subject/11026735/
茶馆,9.5,https://movie.douban.com/subject/1461403/
第六感,8.9,https://movie.douban.com/subject/1297630/
7号房的礼物,8.9,https://movie.douban.com/subject/10777687/
爱在日落黄昏时,8.9,https://movie.douban.com/subject/1291990/
爱在黎明破晓前,8.8,https://movie.douban.com/subject/1296339/
头脑特工队,8.9,https://movie.douban.com/subject/10533913/
哈利·波特与火焰杯,8.8,https://movie.douban.com/subject/1309055/
未麻的部屋,9.1,https://movie.douban.com/subject/1395091/
被嫌弃的松子的一生,8.8,https://movie.douban.com/subject/1787291/
重庆森林,8.8,https://movie.douban.com/subject/1291999/
借东西的小人阿莉埃蒂,8.9,https://movie.douban.com/subject/4202302/
菊次郎的夏天,8.9,https://movie.douban.com/subject/1293359/
入殓师,8.9,https://movie.douban.com/subject/2149806/
断背山,8.8,https://movie.douban.com/subject/1418834/
剪刀手爱德华,8.7,https://movie.douban.com/subject/1292370/
勇敢的心,8.9,https://movie.douban.com/subject/1294639/
时空恋旅人,8.8,https://movie.douban.com/subject/10577869/
玩具总动员3,8.9,https://movie.douban.com/subject/1858711/
傲慢与偏见,8.7,https://movie.douban.com/subject/1418200/
驯龙高手,8.8,https://movie.douban.com/subject/2353023/
消失的爱人,8.7,https://movie.douban.com/subject/21318488/
新世界,8.9,https://movie.douban.com/subject/10437779/
无人知晓,9.1,https://movie.douban.com/subject/1292337/
倩女幽魂,8.8,https://movie.douban.com/subject/1297447/
花样年华,8.8,https://movie.douban.com/subject/1291557/
一个叫欧维的男人决定去死,8.9,https://movie.douban.com/subject/26628357/
色，戒,8.7,https://movie.douban.com/subject/1828115/
完美的世界,9.1,https://movie.douban.com/subject/1300992/
怪兽电力公司,8.8,https://movie.douban.com/subject/1291579/
教父3,9.0,https://movie.douban.com/subject/1294240/
九品芝麻官,8.8,https://movie.douban.com/subject/1297518/
小森林 夏秋篇,9.0,https://movie.douban.com/subject/25814705/
天使爱美丽,8.7,https://movie.douban.com/subject/1292215/
阳光灿烂的日子,8.8,https://movie.douban.com/subject/1291875/
哪吒闹海,9.2,https://movie.douban.com/subject/1307315/
被解救的姜戈,8.8,https://movie.douban.com/subject/6307447/
侧耳倾听,8.9,https://movie.douban.com/subject/1297052/
幸福终点站,8.8,https://movie.douban.com/subject/1292274/
请以你的名字呼唤我,8.8,https://movie.douban.com/subject/26799731/
釜山行,8.6,https://movie.douban.com/subject/25986180/
神偷奶爸,8.7,https://movie.douban.com/subject/3287562/
小森林 冬春篇,9.0,https://movie.douban.com/subject/25814707/
喜宴,9.0,https://movie.douban.com/subject/1303037/
萤火之森,8.8,https://movie.douban.com/subject/5989818/
告白,8.8,https://movie.douban.com/subject/4268598/
机器人之梦,9.1,https://movie.douban.com/subject/35426925/
七武士,9.3,https://movie.douban.com/subject/1295399/
